Open,High,Low,Close,Volume
LT.NS,LT.NS,LT.NS,LT.NS,LT.NS
1822.7386291012049,1863.5698511615935,1821.440131661188,1849.526611328125,1906676
1849.5266171499334,1868.9082678055822,1841.5431885653443,1863.6661376953125,1643920
1866.6959022551766,1876.6031828365356,1854.1436039007458,1874.294677734375,1711667
1870.3509937582712,1878.5268659346382,1846.400474135002,1851.1136474609375,1372015
1855.4902280024285,1861.1651513418446,1824.8066365583966,1832.2611083984375,1447123
1837.1667080734471,1885.2119370592393,1834.5215727607758,1878.6231689453125,2397846
1874.6794989412565,1894.878713655349,1863.762327805063,1886.3662109375,2232435
1903.054411226215,1908.3446812599498,1885.548473717123,1898.9183349609375,1585970
1900.2171125214566,1951.628876015113,1900.2171125214566,1941.43310546875,2373324
1937.2007782172714,1971.7798613290038,1930.4677069920872,1966.7781982421875,3124945
1966.778344038917,1992.9410900586065,1964.1332087186545,1990.48828125,1858651
1996.4998983590165,1999.2894546106477,1933.8824739174609,1945.088134765625,1460676
1942.8759011960494,1949.7051359592897,1911.2304416137683,1943.8377685546875,2336679
1942.9721303149176,1957.4001411835927,1908.4410674861313,1927.101318359375,2031107
1906.5654079304568,1918.7330534972734,1868.9564177002092,1881.460693359375,2209132
1880.450649162319,1884.298118521219,1809.8015400256986,1827.4517822265625,2307120
1822.7386724040705,1857.6545050210518,1779.5508038597968,1851.88330078125,2998042
1841.5431103653787,1848.708974878308,1795.8062726835594,1837.984130859375,2932713
1843.0340981066697,1873.7176915906548,1819.1798570818928,1825.1915283203125,2233620
1818.1214942502024,1850.6326554334526,1779.8872696901817,1836.39697265625,3161064
1855.1054528431057,1923.6385002295685,1843.8996749452476,1914.596923828125,5392787
1919.021539052658,1931.429651431899,1895.4557888235338,1907.0943603515625,3579380
1905.9401233966612,1909.3066590675612,1856.4039556677044,1859.914794921875,2262217
1873.7176960002648,1883.1440434904723,1849.9596181762993,1873.6695556640625,1440816
1858.8086713192222,1873.2366817046236,1803.0685048298008,1812.6390380859375,2641464
1817.9291593868238,1824.614090017335,1777.5307336226722,1804.0782470703125,2040523
1812.6390698020107,1827.4518508732945,1804.0784266737955,1816.775146484375,1390810
1819.8529597908996,1838.1284387740006,1809.272419326999,1828.509765625,1288856
1816.9674326517618,1816.9674326517618,1779.4546058262358,1799.894287109375,1744894
1772.9620455645932,1776.5209078991527,1726.5519445481866,1730.3994140625,2290199
1740.97996486603,1810.2344165071097,1737.2767989210906,1804.5113525390625,2602134
1804.5112171282742,1815.3322243851828,1771.9038917777007,1789.7464599609375,1898439
1797.7301355008594,1813.0238503453536,1783.3982880375856,1797.4415283203125,1459905
1798.6920409908885,1823.7005934324732,1794.0270075762223,1811.29248046875,1912482
1803.4532219897058,1812.0620056084783,1778.3485065092248,1792.8726806640625,1262585
1743.8655293336071,1784.2639585845786,1731.8421872946276,1774.1162109375,2288298
1778.4928773654433,1781.3784796543002,1746.8955557855522,1750.8873291015625,1583872
1715.250035547548,1731.3613144458636,1684.2298119970594,1690.337646484375,3616355
1714.0476956563014,1730.110834165687,1697.6959499626105,1709.2864990234375,2476882
1697.59961623489,1752.7626822437367,1685.9610454223828,1747.472412109375,2553662
1731.3612142975974,1757.2834921788187,1701.0623930473894,1716.4522705078125,3152628
1740.9797983147428,1744.3944741671166,1678.9874983188279,1685.4801025390625,2259979
1673.6491931343107,1687.1634764013734,1638.0601010963971,1646.4764404296875,3906819
1595.0165130453058,1603.2405257503883,1544.3261513050243,1572.1240234375,6318251
1565.8239611732806,1602.471085565364,1534.178500286168,1595.257080078125,4421730
1612.5705467453618,1634.9821020558081,1587.1292033378948,1626.469482421875,3306502
1673.6491537225654,1690.9627656576265,1641.90753184162,1662.299072265625,2776325
1654.411879415308,1669.272683342713,1640.7534097025946,1662.7320556640625,1577597
1668.8397827410504,1687.1152616298573,1650.083370197275,1680.1417236328125,1558334
1681.34419495066,1697.695940553727,1660.7602093554733,1676.9676513671875,2062332
1693.848455701376,1703.1304993988435,1679.612771515218,1689.2314453125,2101909
1713.230051646176,1735.7857940073554,1701.0142658682314,1719.72265625,3383036
1736.1706541253202,1736.1706541253202,1678.4586102208775,1689.3277587890625,2301462
1689.327611997749,1709.2382184485011,1655.517952398473,1706.4007568359375,3986030
1712.1239163734263,1723.2335314486586,1692.0690052180971,1699.860107421875,1574226
1688.0772636047534,1711.835341089306,1684.2297940580759,1703.9962158203125,1580887
1707.8915545157017,1710.1038962720322,1672.6872348163415,1684.3258056640625,1483897
1685.1916768175815,1688.077279003913,1659.3174203970518,1675.188232421875,1799629
1682.0174119431986,1687.2115191902908,1666.916141299224,1680.045654296875,2071779
1699.5235528871633,1709.2865305971216,1687.2116030536022,1705.968017578125,1712835
1712.0757711997799,1713.4224089953125,1690.9628294815907,1700.244873046875,1401916
1691.9246935745982,1725.5900513205395,1691.9246935745982,1721.8387451171875,2050573
1715.9713618838912,1760.072956642044,1708.8535199714624,1756.7064208984375,1955281
1769.8359502163498,1774.64528703759,1757.3316744811257,1766.03662109375,1718581
1763.102807142747,1787.1494902734446,1758.004863352861,1782.1478271484375,2245496
1779.3583703571385,1785.0814339179626,1741.1241445675046,1756.6583251953125,2003954
1765.4113051603601,1768.7778407852213,1748.7229306173508,1760.9385986328125,1903321
1750.839134197037,1759.976874493629,1711.1621039618344,1713.5667724609375,2262446
1712.1237804318428,1713.5665813704088,1667.4931145824414,1681.055419921875,4215141
1687.30746607035,1705.2463135861192,1680.478232146893,1693.6558837890625,1673417
