Open,High,Low,Close,Volume
ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
720.772979859294,743.034939294085,720.7244907252026,741.77392578125,9653095
744.9265052853369,754.6751896603275,740.7068848328263,749.6795654296875,12114437
749.8251068763901,771.9900297558837,748.0790835397291,764.4238891601562,19741360
751.8135989795604,768.7404510358562,750.7950903492147,761.5137939453125,13018067
768.4494479246886,778.2466210419217,762.67782014738,769.4679565429688,12250210
776.2580937359975,788.4318264452507,775.0455693783967,786.4432983398438,10905080
785.4733332316896,790.2749418612598,777.8587034209163,786.3463745117188,9982061
794.0580252527016,800.7026950724887,787.7044086787562,799.0536499023438,13034848
796.3860744078269,803.1762114612432,792.8940276053314,799.9751586914062,9372244
796.3859740466606,797.3559935034775,787.2677674704663,795.4159545898438,7552844
795.4160250326835,804.0492226450341,790.1294066837855,794.7369995117188,6722700
796.38601737993,810.9363100238994,793.669974594114,798.4230346679688,10835146
791.535894877621,796.3859922727045,779.1681465201582,784.3577270507812,16416144
778.9256110069231,788.5773162844923,771.5534869385369,785.958251953125,13567654
778.9256470409367,787.0252860646632,771.6505008979641,780.3806762695312,12078277
788.6258569058322,792.2149409123907,759.816265790354,774.5120849609375,29612316
765.3454397112157,780.1867272714006,762.4838701424657,777.6162109375,19513184
763.3083983827408,777.4706599600323,757.6337485604175,770.8260498046875,23984679
779.6532542601936,781.6902717400607,755.1602593363119,757.7308349609375,14072314
765.2969548408923,774.7546456885359,760.4953461079525,765.1514282226562,14824509
778.0042349984329,788.4804351963562,765.6364846746333,786.0068969726562,20031583
790.56591796875,794.1550020754337,784.600274169445,789.3533935546875,11214375
789.6443412621226,793.863961498765,781.8356963345784,784.697265625,9755335
785.5218385784158,787.6558934806294,771.9415645528877,780.9142456054688,10314067
774.1241179345495,780.865765891066,758.021816506368,762.8234252929688,14659368
766.3154296875,771.8445528566837,751.0861112058162,768.740478515625,14642455
773.348092746373,780.1382296535221,770.3895449350314,778.731689453125,8855292
781.7872896935493,784.5518218050651,772.4265770961425,781.3507690429688,13159771
772.9600369655885,773.4935950700583,764.2784095569087,767.0914306640625,13138408
748.8551060073834,750.7466560048083,728.6302217098981,731.103759765625,16170656
730.3762033282566,754.6751802603627,720.9185130872045,752.7836303710938,18880659
752.4441841678203,754.238696670831,737.6028967480834,741.1434326171875,10549784
743.5200273163548,744.2475420201869,723.9256194520854,727.8541870117188,16683808
724.4591053521793,734.1108120903283,723.1980917292974,726.4476928710938,8945567
723.8770658978235,740.0279145678118,717.8144439053794,731.8312377929688,10967164
716.2624787902446,736.9723730612117,715.631942383559,728.7756958007812,13156371
731.9767460218848,733.7228286173266,720.4335486276524,722.2765502929688,11624282
691.5270023764157,705.3012334487867,681.2447590061901,686.19189453125,28023104
703.2156439894683,717.1354000457194,698.6565405267843,708.1627197265625,16935750
701.2756465733906,722.42206095429,693.9520108008815,720.4335327148438,20547432
695.5040227620968,703.2156900856645,686.5313418547755,693.41845703125,25252492
696.0859890579119,700.3056095245371,672.6600529984909,677.3646240234375,23190595
670.2835055337035,685.3672976160152,664.4633882642357,667.4219360351562,18697223
643.6079589843749,647.00302734375,622.8980656743049,634.1502685546875,27799873
624.0135526120663,649.3795870363712,623.72255859375,645.06298828125,26716975
644.7720213722183,654.2782013370947,638.2728783985298,647.4395751953125,33728639
673.1450597932595,679.983685589009,653.4536753184026,656.315185546875,35959638
654.4237303247853,664.1724152179717,650.4951036795836,657.5762939453125,20546724
657.7701545845479,677.5100855917592,656.9456617476736,675.279052734375,24648981
680.4687200830572,686.8708254851132,667.3734560472463,676.443115234375,27714580
685.7068059466105,690.0718936820614,680.2261721077612,686.7738037109375,14621688
696.2800142614094,703.2641667933818,694.7280066788796,698.5110473632812,18329844
699.3841067973971,701.2271676541549,684.3488035306015,689.44140625,12866839
687.4043552277658,699.3840725949519,678.5286529544644,696.6680297851562,11761758
703.2642189271527,705.0102423882569,692.8365080947846,696.7650756835938,7140403
681.3902952515019,691.3329963760759,677.073696092944,683.0878295898438,17727969
683.8637449164283,684.9307426802806,675.7641058041447,678.2861328125,15263007
680.9537657064466,692.0120129342262,674.7941648697114,689.0534057617188,13806166
692.8849609072935,695.4555364272713,684.6882837719272,693.85498046875,11489374
699.4325767058435,709.8117976134745,697.5410267638673,708.9873046875,20154520
717.7174967447032,717.7174967447032,705.9802245354099,708.4052734375,16046383
703.26416015625,716.1654080808163,701.4210993647575,714.1768798828125,12658848
719.7544866073363,727.3206270513682,703.2641547039336,724.216552734375,17192197
724.4105835594509,732.8012762964888,715.8744234140013,719.5604858398438,12290391
710.3452853489703,722.5675668704997,710.1512696031758,719.366455078125,13518142
715.0012979159649,735.0807119508635,715.0012979159649,726.1080322265625,15087175
727.369131169894,733.334775045837,721.3065090216976,731.6857299804688,15480705
729.7456517780823,742.5014317762851,729.1151746316407,736.8267822265625,13216391
734.3047916894062,745.8480478960997,727.757159795214,740.9494018554688,14020000
746.5270198926197,749.3885893981088,737.8938814451427,739.3973999023438,16119956
728.4846288940821,740.0278843789141,726.7386056725445,735.0807495117188,17651530
738.9608400036045,754.5781894079806,734.3047582651742,743.325927734375,31088359
743.8109742610528,746.9150486419223,731.2007201930724,732.8982543945312,15984202
736.2933320721821,741.288956467235,728.6787022404092,739.494384765625,8953098
734.3048279202951,736.099340475498,723.5376341784837,725.2351684570312,14411607
725.2351047451931,739.3488766658785,721.6945098788588,729.648681640625,35417460
744.9750621890548,745.508561134719,729.1152652112901,731.1522827148438,18727514
